Datetime,Close,High,Low,Open,Volume,Normal_Price,Risk_Status,Cushion_Pct
2026-03-02 14:30:00,398.654114,399.218689,388.250000,390.320007,11632699,,Initializing...,0
2026-03-02 15:30:00,400.170013,403.709015,397.739990,398.665009,6369385,,Initializing...,0
2026-03-02 16:30:00,402.519989,404.539886,399.739990,400.209991,5307407,,Initializing...,0
2026-03-02 17:30:00,401.750000,403.190002,400.970001,402.470001,3707542,,Initializing...,0
2026-03-02 18:30:00,402.649994,402.869995,400.100006,401.786285,3484032,401.148822,Moderate Risk,0.024226716
2026-03-02 19:30:00,399.559998,402.799988,398.910004,402.660004,15081453,401.3299988,High Risk,0.015907818
2026-03-02 20:30:00,403.234985,403.489990,399.559998,399.570007,5267667,401.9429932,Moderate Risk,0.023688129
2026-03-03 14:30:00,386.720001,396.339996,386.559998,395.089996,17290057,398.7829956,High Risk,-0.010458694
2026-03-03 15:30:00,392.540009,393.559998,385.399994,386.690002,12190306,396.9409973,High Risk,0.009094631
2026-03-03 16:30:00,392.000000,393.549988,389.859985,392.529999,6657822,394.8109985,High Risk,0.013143001
2026-03-03 17:30:00,393.290009,393.920013,389.079987,391.959991,5541323,393.5570007,High Risk,0.01971591
2026-03-03 18:30:00,391.635010,394.769989,391.000000,393.299988,5557143,391.2370056,Moderate Risk,0.021446221
2026-03-03 19:30:00,392.549988,394.700012,391.230011,391.670013,5268077,392.4030029,Moderate Risk,0.020790384
2026-03-03 20:30:00,392.350006,393.500000,391.670013,392.540100,5308335,392.3650024,Moderate Risk,0.020369163
2026-03-04 14:30:00,407.670013,407.852386,394.589996,397.845001,20741277,395.4990051,Low Risk,0.051810003
2026-03-04 15:30:00,404.195007,407.790009,401.429993,407.670013,10733226,397.6800049,Low Risk,0.037125025
2026-03-04 16:30:00,404.859985,407.149994,403.880005,404.179993,7361876,400.325,Low Risk,0.031967611
2026-03-04 17:30:00,403.779999,405.040009,403.279999,404.864990,6209136,402.5710022,Moderate Risk,0.023472641
2026-03-04 18:30:00,406.325012,406.839996,403.720001,403.779999,5290009,405.3660034,Moderate Risk,0.02282223
2026-03-04 19:30:00,406.950012,407.380005,404.850006,406.329987,5657840,405.2220032,Moderate Risk,0.024759542
2026-03-04 20:30:00,406.070007,408.329987,404.750000,406.950012,6921220,405.5970032,Moderate Risk,0.021598156
2026-03-05 14:30:00,403.640015,407.380005,400.299988,401.570007,12709534,405.353009,High Risk,0.016095987
2026-03-05 15:30:00,405.415314,407.059998,401.769989,403.670013,8003266,405.680072,High Risk,0.019742216
2026-03-05 16:30:00,403.150085,408.619904,403.049988,405.459991,6229475,405.0450867,High Risk,0.015634189
2026-03-05 17:30:00,399.730011,403.429993,399.420013,403.170013,6761936,403.6010864,High Risk,0.010621081
2026-03-05 18:30:00,401.750000,402.779999,399.559998,399.700012,4565821,402.737085,High Risk,0.017907203
2026-03-05 19:30:00,402.790009,404.380005,399.760010,401.700012,5510901,402.5670837,Moderate Risk,0.020973223
2026-03-05 20:30:00,405.401306,405.890015,402.570007,402.769989,4836899,402.5642822,Moderate Risk,0.027599368
2026-03-06 14:30:00,397.309998,398.500000,394.220001,398.184998,16938293,401.3962646,High Risk,0.010020273
2026-03-06 15:30:00,399.619995,399.954987,395.410004,397.269989,10989461,401.3742615,High Risk,0.015948316
2026-03-06 16:30:00,398.859985,401.410004,397.710999,399.630005,8265638,400.7962585,High Risk,0.015478504
2026-03-06 17:30:00,401.170013,402.350006,397.149994,398.910004,6641166,400.4722595,Moderate Risk,0.022186049
2026-03-06 18:30:00,399.309998,401.750000,398.299988,401.165009,5725425,399.2539978,Moderate Risk,0.020551287
2026-03-06 19:30:00,396.720001,400.829987,396.500000,399.309998,5982618,399.1359985,High Risk,0.014231563
2026-03-06 20:30:00,396.559998,398.200012,396.200012,396.730011,5246449,398.523999,High Risk,0.015379399
